case_id,asset,strategy,window,roundtrip_cost_bps,environment_proxy,bars,compounded_return_pct,mean_bps_per_bar,positive_bar_pct,sharpe
eth_dual_full_rt12bps,ETH,dual,full,12,bull_180d_gt_20pct,6308,175.4449305490189,1.8205278138141867,45.62460367786937,1.3015924637171183
eth_dual_full_rt12bps,ETH,dual,full,12,bear_180d_lt_minus20pct,3493,13.760234273394412,0.3871127498818917,23.418265101631835,0.9541296807193115
eth_dual_full_rt12bps,ETH,dual,full,12,sideways_180d_between_plusminus20pct,3332,34.89537587658553,0.9542119310166084,30.88235294117647,1.335948174947492
eth_dual_full_rt12bps,ETH,dual,full,12,trend_adx_ge_25,10799,341.13176446158786,1.5178021862171178,36.59598110936198,1.327364666609996
eth_dual_full_rt12bps,ETH,dual,full,12,choppy_adx_lt_20,1486,-5.463336929932694,-0.283328219253655,36.608344549125164,-0.304780998088767
eth_dual_full_rt12bps,ETH,dual,full,12,high_volatility_rank_ge_90pct,1965,76.10926566353129,3.082746563636834,31.755725190839694,2.2742220743442716
eth_dual_full_rt12bps,ETH,dual,full,12,low_volatility_rank_le_30pct,5137,96.37452173255858,1.4133960821693183,39.90656024917267,1.4811053622298
sol_dual_full_rt12bps,SOL,dual,full,12,bull_180d_gt_20pct,5344,265.356820581456,2.856121150782704,41.691616766467064,1.4365589018833305
sol_dual_full_rt12bps,SOL,dual,full,12,bear_180d_lt_minus20pct,4175,-11.574499749894384,-0.2812909935574758,11.568862275449101,-0.8068326406809713
sol_dual_full_rt12bps,SOL,dual,full,12,sideways_180d_between_plusminus20pct,2060,26.95649605902446,1.223457058970589,25.145631067961165,1.586891097812701
sol_dual_full_rt12bps,SOL,dual,full,12,trend_adx_ge_25,9555,525.1476600956063,2.173457130121207,27.765567765567766,1.4186699658599682
sol_dual_full_rt12bps,SOL,dual,full,12,choppy_adx_lt_20,1251,21.822872694015928,1.7804581872120557,27.89768185451639,1.3055877670979257
sol_dual_full_rt12bps,SOL,dual,full,12,high_volatility_rank_ge_90pct,1765,175.18049177974535,6.140805336353792,23.79603399433428,3.1723456039089197
sol_dual_full_rt12bps,SOL,dual,full,12,low_volatility_rank_le_30pct,4468,-1.1531877634210486,0.14691827925415538,28.894359892569383,0.11681317147085132
btc_dual_full_rt20bps,BTC,dual,full,20,bull_180d_gt_20pct,6635,143.20391968863575,1.4376715310714856,41.10022607385079,1.5181501641650976
btc_dual_full_rt20bps,BTC,dual,full,20,bear_180d_lt_minus20pct,2606,14.978225695689918,0.5450979971397711,17.114351496546433,1.8491045828040076
btc_dual_full_rt20bps,BTC,dual,full,20,sideways_180d_between_plusminus20pct,3892,29.153547922904632,0.6808577156273944,26.59301130524152,1.4681512587939405
btc_dual_full_rt20bps,BTC,dual,full,20,trend_adx_ge_25,10785,165.0140418298721,0.9721362945411769,32.65646731571627,1.2319017013152582
btc_dual_full_rt20bps,BTC,dual,full,20,choppy_adx_lt_20,1511,3.342198030626098,0.2688079909022611,31.30377233620119,0.39246995609408036
btc_dual_full_rt20bps,BTC,dual,full,20,high_volatility_rank_ge_90pct,1771,4.913205324119829,0.413989622239548,25.40937323546019,0.36355896176872776
btc_dual_full_rt20bps,BTC,dual,full,20,low_volatility_rank_le_30pct,5195,81.76017586541133,1.196045262920431,36.43888354186718,1.8467919805901494
eth_dual_full_rt20bps,ETH,dual,full,20,bull_180d_gt_20pct,6308,164.25381850551335,1.7547239902329643,45.561192136968934,1.2546630807662922
eth_dual_full_rt20bps,ETH,dual,full,20,bear_180d_lt_minus20pct,3493,13.183856259092952,0.37255986979409256,23.418265101631835,0.9185301409658723
eth_dual_full_rt20bps,ETH,dual,full,20,sideways_180d_between_plusminus20pct,3332,33.18329187412379,0.9158746259185476,30.732292917166866,1.282265639138917
eth_dual_full_rt20bps,ETH,dual,full,20,trend_adx_ge_25,10799,318.3426670939467,1.4686529336875094,36.52190017594222,1.284493897094022
eth_dual_full_rt20bps,ETH,dual,full,20,choppy_adx_lt_20,1486,-6.037193070032288,-0.32434043614347274,36.54104979811575,-0.34897237383349633
eth_dual_full_rt20bps,ETH,dual,full,20,high_volatility_rank_ge_90pct,1965,75.61563057254914,3.068365465271353,31.755725190839694,2.2641274825653483
eth_dual_full_rt20bps,ETH,dual,full,20,low_volatility_rank_le_30pct,5137,93.64727859934787,1.3861064848304592,39.867627019661285,1.4529596551206325
sol_dual_full_rt20bps,SOL,dual,full,20,bull_180d_gt_20pct,5344,252.81400769489565,2.7905093032061776,41.65419161676647,1.403933400308967
sol_dual_full_rt20bps,SOL,dual,full,20,bear_180d_lt_minus20pct,4175,-11.88137187381808,-0.2896244154901032,11.520958083832335,-0.8309506743832958
sol_dual_full_rt20bps,SOL,dual,full,20,sideways_180d_between_plusminus20pct,2060,26.074930547212904,1.1895871485640268,25.04854368932039,1.5434468909629706
sol_dual_full_rt20bps,SOL,dual,full,20,trend_adx_ge_25,9555,501.2639600884649,2.132582035660085,27.71323914181057,1.3922673082571226
sol_dual_full_rt20bps,SOL,dual,full,20,choppy_adx_lt_20,1251,21.36845455815166,1.7505551396751584,27.89768185451639,1.2837490466031012
sol_dual_full_rt20bps,SOL,dual,full,20,high_volatility_rank_ge_90pct,1765,174.46334558914535,6.125804107185852,23.79603399433428,3.165414264430527
sol_dual_full_rt20bps,SOL,dual,full,20,low_volatility_rank_le_30pct,4468,-2.4100692988218486,0.11818557335408482,28.871978513876456,0.09399332525460677
